1000 10000
809 729 64
676 120 82
801 626 13
230 154 41
788 575 50
633 288 51
572 29 30
908 433 95
244 5 74
373 882 33
159 44 14
174 72 35
356 874 61
668 104 67
860 244 42
361 877 82
811 802 12
192 710 97
39 954 2
12 680 36
797 839 80
310 14 53
296 722 27
908 742 83
674 602 27
16 964 56
997 127 10
360 672 20
156 711 27
309 75 7
345 872 98
776 535 64
280 831 86
658 92 28
140 766 83
218 134 47
526 484 74
635 196 46
807 353 9
933 14 37
91 359 9
88 136 96
452 768 80
889 427 72
69 919 38
851 490 25
597 16 9
822 3 5
720 162 10
328 447 25
364 538 36
625 979 72
772 783 93
751 672 20
174 93 39
364 944 81
688 893 97
496 716 53
852 788 15
562 468 63
638 833 53
73 810 32
997 934 15
689 38 40
808 212 33
198 576 30
79 616 23
327 464 91
931 317 79
346 231 48
560 869 33
312 942 95
396 939 29
262 980 67
153 788 32
138 339 8
67 770 77
241 449 41
484 381 58
162 79 89
661 991 10
345 655 53
191 51 44
620 666 25
438 819 65
469 957 56
429 376 78
5 618 28
397 102 61
755 616 40
695 630 31
857 327 38
961 519 90
4 491 56
380 929 27
545 751 85
752 532 13
730 889 83
157 286 85
317 393 54
908 441 36
490 298 63
727 259 34
16 615 25
323 996 7
450 893 10
886 645 42
698 375 31
481 532 69
717 201 63
922 109 56
109 599 54
624 679 65
657 47 80
534 371 28
692 173 21
601 411 67
42 461 42
724 294 27
44 364 28
758 638 90
913 748 89
718 724 20
782 381 68
814 267 39
193 959 64
114 560 27
32 954 88
973 30 83
151 75 99
179 833 37
20 99 37
460 817 61
580 952 95
747 766 62
285 311 74
700 425 34
526 457 41
813 783 23
747 934 98
397 465 84
334 485 83
370 946 100
483 526 4
977 625 22
90 910 34
163 962 59
149 488 69
89 653 52
763 753 38
161 150 56
96 836 93
778 559 91
629 42 17
433 371 42
354 461 4
939 625 18
598 126 58
418 567 12
21 330 17
558 843 19
265 939 8
458 69 67
948 699 61
317 484 84
310 190 45
566 130 22
783 80 48
841 498 15
904 519 46
72 429 89
390 695 81
897 153 50
315 453 49
127 770 85
310 81 76
955 647 58
928 782 38
676 623 88
342 879 59
987 951 88
828 342 35
608 591 88
457 259 42
358 386 64
94 697 45
669 4 44
78 284 27
215 960 2
554 303 82
412 642 85
700 822 27
34 782 71
874 592 30
167 302 68
230 396 65
727 66 21
222 144 6
500 712 18
402 266 73
535 31 68
619 83 90
398 469 25
120 343 17
749 862 19
116 93 15
533 172 33
305 394 30
362 895 42
380 649 60
404 536 91
71 507 74
913 257 44
537 377 39
105 126 2
623 595 47
889 480 71
222 785 65
51 148 12
592 880 61
103 636 49
646 708 57
919 973 14
14 510 44
805 615 70
458 590 17
204 479 97
474 701 35
490 752 35
402 696 15
314 152 51
115 798 11
423 69 84
636 436 46
579 241 61
1 699 3
369 255 83
866 81 84
500 571 89
634 325 37
0 992 89
2 107 87
65 530 57
748 518 93
646 450 86
158 803 85
261 172 40
843 38 73
478 890 44
866 876 22
303 876 14
243 231 73
630 296 3
438 44 73
682 42 23
167 201 78
703 462 51
494 657 41
366 135 84
161 354 60
282 657 37
747 900 68
319 882 64
773 672 60
746 354 55
520 873 56
98 928 18
200 422 27
340 140 62
723 302 16
335 936 25
471 684 78
190 355 60
205 129 85
616 227 39
70 99 65
77 549 93
194 749 68
320 442 60
934 517 14
549 852 51
174 675 87
51 217 42
162 422 23
946 391 2
437 813 2
153 891 51
797 437 53
216 758 95
776 44 64
989 593 69
139 119 44
677 522 14
219 37 88
593 983 79
195 772 93
896 277 84
498 75 21
850 291 31
996 67 75
660 57 21
528 548 92
423 226 15
536 797 4
776 742 87
54 937 12
498 185 89
481 36 16
254 886 8
136 883 27
63 895 84
583 775 85
926 550 63
792 439 12
695 215 54
934 269 44
945 768 29
585 601 65
301 207 4
660 344 39
86 407 34
570 342 61
306 620 11
268 413 50
379 108 65
584 42 87
727 339 7
408 277 60
124 930 68
727 590 64
565 676 23
650 598 17
510 904 37
921 524 50
122 255 11
539 840 5
225 567 97
31 975 74
142 100 4
109 179 46
124 745 22
546 747 73
662 258 77
751 531 54
252 653 9
862 192 49
219 769 17
267 152 44
240 295 44
495 756 76
692 881 73
213 779 20
685 794 30
414 545 61
667 797 67
527 12 11
876 583 33
144 850 85
387 442 32
83 289 41
958 981 74
930 546 53
1 584 47
331 998 92
543 17 42
761 544 6
172 772 89
56 916 39
92 304 81
424 387 70
216 697 51
889 627 97
341 628 81
940 311 31
83 855 100
24 616 97
329 140 69
569 196 38
307 641 42
839 417 81
308 633 78
110 522 57
459 215 85
391 155 97
674 239 4
973 615 20
169 297 13
490 866 61
727 174 2
620 365 19
900 674 52
229 136 74
185 595 42
121 339 97
17 13 88
472 338 4
192 860 1
404 350 19
164 429 45
566 49 11
736 301 37
188 882 73
513 67 21
54 188 60
751 558 25
38 30 63
293 574 23
845 330 25
264 847 54
560 765 55
870 501 8
206 689 90
31 203 57
803 609 98
562 360 56
38 751 38
500 396 13
175 594 43
199 858 90
653 770 55
859 641 9
367 199 98
756 582 53
213 385 63
562 947 75
117 337 78
406 838 75
270 13 69
465 212 79
506 217 49
313 77 42
621 444 42
618 552 24
523 117 10
685 679 9
559 148 47
537 555 37
263 825 2
231 290 66
761 797 84
709 110 13
651 731 9
144 701 61
219 224 79
680 261 58
89 173 7
187 710 14
475 973 91
776 556 82
993 317 31
428 378 93
940 29 76
600 525 77
461 745 54
791 425 15
448 866 88
606 405 50
671 880 75
562 8 83
743 354 100
425 782 31
217 723 60
92 323 38
20 136 83
525 927 60
292 728 27
231 686 32
881 358 65
207 920 25
90 15 79
641 440 62
571 657 37
883 101 12
720 473 1
654 999 28
13 643 8
591 874 95
575 107 53
791 315 73
15 757 88
946 750 80
659 674 89
95 909 90
558 981 15
158 635 66
38 0 9
645 944 84
939 519 91
943 310 58
867 677 67
454 623 18
833 282 44
573 729 53
62 288 86
729 798 73
394 188 73
703 186 17
886 125 88
528 421 98
486 288 28
552 95 51
721 280 34
564 854 15
668 268 55
753 997 54
825 744 94
250 447 80
618 685 58
506 213 79
55 51 67
282 956 14
485 29 95
970 594 49
184 614 69
39 720 67
44 897 11
237 147 10
617 766 95
826 624 60
104 31 64
22 666 72
36 151 1
682 473 47
182 657 62
950 48 34
716 92 31
578 682 79
887 651 97
233 477 73
145 933 56
460 955 22
731 343 25
383 377 98
630 559 8
843 510 56
776 578 1
606 157 83
584 396 86
32 982 15
104 479 48
560 939 55
33 22 51
658 405 28
755 35 88
214 878 98
370 654 76
970 613 85
604 197 34
241 230 16
355 686 95
402 598 86
108 632 60
158 290 17
586 397 5
925 612 35
774 334 42
201 304 55
786 260 52
119 501 34
786 208 73
932 962 71
369 70 3
828 229 45
44 167 43
648 444 7
483 218 41
324 419 97
778 557 57
781 28 10
367 166 18
639 98 80
509 467 50
364 295 31
508 692 50
50 340 46
908 175 64
748 851 36
244 981 45
352 115 26
961 482 92
130 121 91
909 982 58
111 346 6
893 207 98
195 609 90
940 518 18
904 266 21
991 863 3
987 215 18
12 529 52
204 659 25
494 921 7
603 384 6
8 277 65
457 472 74
599 413 92
268 669 11
788 12 74
290 999 41
259 12 22
710 216 82
634 62 55
541 17 39
498 26 68
662 835 41
787 786 6
79 54 27
341 843 91
114 133 90
806 393 54
28 103 22
261 738 84
767 631 2
305 481 80
472 495 67
464 282 54
221 361 8
999 702 51
789 168 37
931 327 82
84 707 37
158 320 27
941 87 58
94 392 91
625 216 86
992 33 69
497 606 82
56 958 37
459 99 57
995 30 36
628 467 43
364 977 63
191 918 50
0 365 94
291 342 63
428 686 48
848 183 6
982 240 64
818 699 64
526 46 46
562 674 65
656 390 42
719 581 13
220 582 30
466 225 72
280 5 59
127 854 94
932 836 34
48 6 85
263 884 83
860 798 9
925 455 100
318 526 33
982 746 15
363 564 92
735 844 98
145 971 4
738 256 40
924 304 98
160 567 82
443 427 81
751 704 88
802 375 14
435 709 12
1 73 77
145 160 21
942 305 45
945 395 53
136 319 57
333 832 76
766 275 55
998 378 12
685 533 39
898 968 48
562 321 21
438 466 33
510 760 38
906 57 86
558 193 57
866 878 89
741 997 16
748 995 47
811 681 80
249 931 100
396 493 21
969 283 40
701 146 100
739 52 58
876 611 3
332 829 34
621 923 31
888 671 78
534 482 59
713 731 43
564 479 88
737 448 72
376 150 18
127 241 22
584 117 33
939 801 15
172 422 38
754 663 9
331 197 43
942 263 26
484 827 5
223 564 6
894 940 56
63 68 49
285 4 18
469 295 19
483 819 94
420 573 57
380 905 6
174 847 69
699 683 97
56 906 13
861 153 6
168 568 26
716 205 30
85 675 78
903 510 97
848 283 71
456 663 28
262 190 75
330 889 10
578 945 68
391 158 73
496 326 94
21 42 99
902 479 26
79 735 89
428 583 72
998 392 87
825 654 77
851 336 19
912 267 64
231 658 23
704 506 1
97 879 96
47 781 75
25 213 10
513 641 46
284 991 38
422 168 44
399 371 32
617 283 99
132 514 9
806 570 15
807 19 94
202 67 28
76 92 93
38 605 86
583 241 77
872 663 97
815 414 68
446 31 51
697 516 17
605 674 88
20 481 7
665 35 26
92 464 70
436 502 27
421 437 68
749 309 84
245 124 98
112 922 82
262 619 50
279 225 24
218 597 58
176 262 93
202 707 57
671 143 11
450 917 48
117 666 57
152 912 33
602 376 56
435 639 27
784 270 52
807 840 1
763 909 19
822 617 43
965 828 93
882 827 62
901 784 67
165 568 69
541 275 4
532 602 40
154 505 99
994 6 16
11 769 25
581 591 94
823 908 74
867 143 2
29 44 38
695 209 6
315 102 34
370 635 36
209 789 41
207 784 47
222 147 68
498 728 11
392 552 72
817 771 15
718 152 11
107 199 72
65 514 74
298 884 9
133 93 51
825 301 35
524 875 82
991 374 62
754 118 66
425 935 38
591 6 90
801 113 90
572 178 4
797 476 41
658 961 86
308 787 87
94 311 15
27 654 41
688 408 59
254 185 46
591 776 52
432 577 18
473 501 96
29 651 25
469 309 86
354 969 73
893 63 84
307 442 39
447 130 99
57 736 85
602 679 61
506 112 91
523 585 92
70 614 43
94 435 4
80 790 73
204 35 88
640 342 30
730 141 13
228 198 49
264 152 29
725 10 93
467 533 30
358 956 97
253 50 32
808 482 74
333 39 9
920 679 3
302 409 44
166 989 94
766 254 99
46 331 9
438 798 95
120 508 3
416 113 53
499 922 88
725 255 27
633 527 6
588 181 67
683 347 56
329 466 10
127 512 93
287 951 91
333 423 100
335 191 13
388 690 87
627 415 42
553 401 22
510 989 55
876 24 55
583 353 21
545 480 33
837 120 36
928 453 59
879 789 50
943 529 93
930 156 8
523 61 61
996 923 2
651 799 27
5 734 80
825 279 61
157 117 81
793 397 86
203 276 75
453 571 4
745 501 12
804 377 73
617 373 96
418 24 47
244 29 82
776 206 13
788 364 30
920 509 27
505 712 55
880 165 27
135 262 80
547 419 9
19 388 83
767 806 59
665 403 89
298 179 47
211 319 11
240 239 20
19 744 33
425 976 50
403 112 65
883 659 36
91 30 24
25 797 82
984 815 85
324 113 16
870 324 35
133 565 26
552 936 71
36 361 99
38 765 11
654 0 22
41 443 53
464 821 2
45 805 17
382 481 31
249 351 55
436 484 72
861 389 60
383 777 74
882 167 91
844 821 91
466 862 86
118 678 7
271 76 64
240 810 45
970 59 49
376 847 85
700 709 26
959 444 4
284 326 23
374 523 97
816 989 59
54 459 90
760 730 66
976 322 76
672 292 87
720 21 35
957 73 96
582 384 40
985 669 19
260 43 94
356 860 83
314 914 42
655 26 24
72 354 47
947 27 91
586 99 64
72 56 37
267 639 22
258 976 91
928 236 86
121 592 98
655 259 64
648 914 91
724 987 97
122 286 24
164 872 76
228 296 32
364 915 71
237 174 48
427 454 36
365 928 29
162 583 88
226 584 54
668 308 93
464 430 80
640 594 4
915 174 1
246 539 16
569 128 42
868 908 49
403 273 77
531 435 12
270 661 48
276 681 56
268 146 38
899 138 33
403 53 7
555 651 98
622 220 27
216 88 35
264 492 60
592 375 95
855 998 9
703 274 90
210 894 88
148 794 26
32 197 79
738 104 31
688 78 3
766 294 92
752 910 36
11 854 63
57 62 61
765 117 87
507 327 82
394 475 76
772 507 25
202 598 29
284 638 59
587 404 54
978 156 16
565 167 71
527 224 85
488 342 2
74 849 29
907 595 57
182 719 64
6 922 14
286 206 52
645 793 8
650 123 64
565 688 83
687 216 60
871 56 54
172 482 55
153 390 50
609 572 22
924 931 44
190 569 2
741 566 96
401 216 71
864 134 12
199 173 80
758 45 36
363 569 18
817 74 60
218 683 85
339 960 16
382 150 85
336 243 52
731 644 20
953 861 54
864 412 28
343 522 25
230 885 46
600 702 21
359 920 56
43 260 68
10 994 70
547 330 14
650 413 10
969 367 23
775 583 35
754 927 57
130 509 42
75 109 44
447 469 65
855 864 77
222 875 71
92 422 54
557 72 67
18 393 86
341 168 70
75 274 49
332 404 58
473 480 68
669 279 89
433 134 5
809 709 80
531 153 54
584 710 78
403 728 24
588 69 44
357 497 19
757 829 23
315 654 55
334 323 35
174 756 69
878 917 30
458 801 83
163 737 45
293 140 26
816 729 47
859 438 44
177 196 73
252 863 28
806 549 3
640 723 60
961 601 29
990 411 82
525 927 20
769 220 60
94 388 41
841 247 32
436 777 80
509 29 43
588 835 92
990 828 67
501 789 68
282 131 80
863 656 7
182 426 79
994 872 67
534 65 66
217 502 43
96 363 24
838 303 60
481 645 88
199 499 29
167 781 60
898 996 17
556 531 95
434 525 19
52 411 37
917 629 39
560 725 54
935 916 9
794 749 54
833 949 5
13 468 86
973 366 83
941 922 14
335 708 91
305 760 2
341 677 83
231 589 9
484 525 77
744 671 26
298 857 27
702 870 95
240 843 61
774 136 35
839 823 95
429 129 7
782 470 37
765 702 26
825 538 3
801 283 27
878 933 84
905 987 6
399 227 50
612 353 38
98 192 62
645 973 91
951 756 13
287 873 67
565 698 6
719 851 41
545 729 74
580 986 61
486 738 41
587 350 94
824 800 87
885 445 60
75 749 68
440 388 41
506 305 91
111 25 42
703 922 24
876 503 10
389 341 48
481 928 50
574 752 3
212 990 100
824 417 49
543 857 90
136 364 95
426 827 72
568 531 95
143 759 50
352 148 91
652 981 71
301 908 75
103 120 65
703 296 35
403 192 92
492 328 8
239 754 36
10 674 19
56 817 78
605 522 79
847 174 60
369 827 68
644 283 41
260 986 89
294 741 81
186 586 9
145 825 16
932 187 90
250 244 8
680 201 82
258 49 56
169 418 35
989 414 18
929 675 56
869 969 98
650 507 36
110 653 61
325 937 100
215 188 44
274 868 46
855 478 47
962 647 17
896 636 32
114 917 59
21 787 80
318 437 88
553 547 93
965 225 30
565 440 70
760 66 38
157 273 16
603 587 64
172 835 52
155 301 70
813 323 57
792 993 46
631 899 45
475 864 70
905 781 62
874 894 28
64 51 53
731 655 40
46 179 76
998 334 77
867 147 52
523 291 46
968 923 45
664 398 61
234 655 43
595 882 89
375 946 40
427 29 47
419 76 26
246 74 60
374 941 59
826 816 51
271 136 26
615 800 24
527 34 32
869 982 14
809 709 12
449 136 41
95 907 17
273 153 91
432 880 84
443 706 52
393 977 88
970 944 41
593 471 27
576 693 9
89 502 70
252 303 7
93 399 66
361 24 72
704 456 52
987 251 58
791 996 87
730 966 83
470 912 6
597 488 99
57 930 54
227 182 57
885 275 8
802 989 32
873 693 41
176 32 44
833 823 41
171 554 7
805 376 19
911 973 8
709 383 38
714 962 20
23 199 48
82 1 89
166 227 82
706 403 14
201 589 90
341 112 44
448 918 20
466 829 46
325 890 81
762 605 43
734 628 94
333 62 47
921 228 74
554 286 30
867 488 19
356 829 83
751 277 1
171 744 30
268 69 21
748 184 78
542 270 58
535 603 20
881 876 49
807 430 35
136 649 23
406 6 5
788 757 82
89 280 78
570 548 100
942 296 36
271 190 6
228 725 61
600 959 37
848 766 67
734 254 16
109 12 74
313 800 84
794 241 64
724 164 65
723 106 13
258 378 4
415 958 81
175 558 92
811 406 10
229 493 64
296 602 76
722 915 29
257 61 22
72 137 86
436 860 93
801 470 23
4 885 81
636 412 40
228 223 46
937 804 91
253 453 93
580 527 60
60 784 74
782 856 11
667 645 72
659 446 94
381 450 80
414 438 44
653 18 68
650 308 24
141 561 29
585 493 8
945 554 92
718 336 1
628 3 46
751 15 92
345 748 94
176 162 32
419 167 3
238 818 11
214 311 24
994 896 17
302 193 23
745 911 59
45 892 15
990 995 82
733 692 30
926 220 45
910 992 64
912 582 82
222 796 45
445 143 42
513 797 35
136 542 99
446 940 43
760 282 38
793 16 31
575 294 51
519 556 43
334 468 26
616 42 74
912 839 69
105 705 66
140 841 61
790 287 53
332 400 35
869 545 3
451 120 98
902 639 6
696 974 75
73 942 69
599 206 61
267 312 66
85 804 7
797 594 46
449 278 98
735 499 44
38 951 64
987 205 56
492 253 82
818 327 76
187 278 82
747 545 46
12 982 50
470 779 96
567 228 74
417 964 26
460 354 77
975 693 34
482 185 87
315 4 66
90 543 44
424 642 42
69 6 24
871 828 56
266 395 36
940 164 52
817 976 6
645 304 99
678 786 37
316 102 93
634 544 36
229 320 30
370 742 36
846 613 16
101 879 63
288 171 28
440 988 4
945 633 8
496 663 47
232 332 1
324 966 45
311 195 18
940 918 60
927 116 73
742 569 4
304 857 28
31 297 68
87 595 2
446 91 17
592 675 49
192 351 15
689 14 63
506 954 33
417 233 49
941 327 18
344 631 75
271 15 73
539 454 20
792 900 63
708 845 38
309 37 41
875 78 55
989 584 61
21 1 94
169 942 21
886 639 4
813 262 71
37 801 25
856 945 78
118 6 23
407 315 60
47 542 39
53 532 75
13 553 29
558 723 23
78 961 62
933 126 25
804 163 78
480 19 24
57 489 82
479 248 49
291 647 91
181 700 23
655 713 29
483 271 52
606 701 65
719 635 92
743 791 55
273 271 27
748 329 68
229 808 17
377 451 64
419 632 17
642 288 30
770 123 54
973 81 7
489 153 42
132 248 85
939 521 57
117 269 86
784 850 46
52 579 98
968 999 30
584 993 70
265 115 46
570 440 27
577 281 80
570 414 29
355 705 2
411 822 24
148 606 74
693 11 6
42 979 57
24 915 50
293 180 17
38 751 9
217 680 90
548 250 56
128 605 61
230 368 35
953 516 94
878 562 5
383 956 36
239 980 51
440 626 83
108 16 86
568 585 66
310 134 17
465 262 74
678 844 95
712 149 11
705 28 25
709 763 82
44 355 14
646 147 40
429 608 9
314 176 94
880 486 28
48 952 43
173 982 39
667 694 89
678 752 69
954 813 84
187 858 39
401 856 39
592 285 47
800 600 23
946 832 62
225 880 66
119 53 48
858 721 94
98 751 46
718 57 60
101 245 70
192 998 26
430 942 64
628 95 64
650 41 48
863 266 80
28 386 33
175 596 6
369 694 9
666 412 19
425 865 16
746 57 14
572 839 56
387 467 51
802 470 92
49 333 11
528 362 49
412 537 45
370 258 91
430 925 3
548 702 20
263 449 78
328 373 17
984 760 85
86 562 55
230 611 40
640 491 2
788 903 40
884 625 50
674 56 75
876 956 78
295 220 79
124 548 52
441 884 12
577 971 74
183 553 37
122 193 28
424 333 83
615 217 9
416 891 17
791 119 73
220 766 93
98 891 94
701 684 30
712 613 1
637 796 6
525 270 99
552 46 84
186 13 1
446 430 44
762 573 63
387 793 30
231 243 73
624 944 57
254 8 22
206 997 18
712 522 40
762 426 87
498 612 100
98 411 30
294 525 3
256 912 48
337 144 43
661 120 39
669 726 47
290 285 44
59 997 66
99 111 92
537 609 57
636 60 68
518 354 93
620 962 58
220 652 2
62 665 74
201 335 1
699 625 86
195 37 35
212 136 46
656 673 8
712 661 20
531 179 26
875 152 40
132 372 44
885 786 10
759 339 45
359 391 22
596 586 11
830 798 47
527 454 72
186 518 86
905 49 65
682 277 69
422 761 93
165 647 80
926 758 71
670 469 62
744 65 100
854 247 51
453 774 57
76 313 76
361 218 77
178 253 54
146 675 68
191 192 15
670 119 25
192 141 94
106 237 11
605 444 58
607 249 84
64 325 97
667 767 70
920 421 68
595 540 59
139 954 81
258 830 26
400 175 32
989 585 89
433 594 97
682 377 61
360 826 52
751 493 19
672 765 92
739 712 32
350 851 38
630 110 68
455 862 95
738 203 80
627 637 26
475 319 56
35 31 82
338 782 27
56 454 92
900 546 4
283 896 55
621 878 17
140 686 31
835 424 35
466 403 72
692 878 43
647 265 27
428 603 61
406 12 68
797 264 14
252 547 62
206 168 92
975 661 78
605 496 55
791 314 58
614 6 89
109 5 54
635 785 10
295 191 74
762 988 38
127 240 85
388 799 6
880 126 67
409 731 15
363 875 81
73 489 88
661 598 93
514 585 31
675 881 22
848 995 63
285 123 55
270 863 54
127 95 80
645 505 64
11 220 91
691 293 80
378 954 31
423 821 16
605 496 49
626 345 45
988 630 20
295 252 83
400 731 79
632 376 36
595 387 56
137 79 50
816 809 56
798 584 77
14 189 26
462 816 71
258 156 53
177 451 58
960 852 89
190 484 66
277 431 53
232 920 84
833 736 94
389 887 78
117 901 68
694 715 36
616 974 44
169 503 96
678 815 100
566 5 36
183 282 19
188 867 39
271 700 27
516 441 14
994 911 67
13 605 35
200 222 61
543 743 64
690 421 80
41 339 37
228 875 72
846 63 91
736 686 43
715 203 85
580 549 48
699 562 53
533 114 27
693 657 70
708 700 43
539 93 35
728 322 10
199 520 73
241 257 59
983 324 62
167 904 11
966 603 25
371 488 91
997 181 1
719 242 1
861 781 94
695 509 16
404 60 37
528 301 46
987 285 70
0 804 26
563 123 82
39 494 70
630 491 52
230 210 46
530 424 27
275 471 89
343 228 1
931 756 3
128 95 40
649 96 96
74 11 19
455 50 65
325 680 57
728 910 19
373 792 95
151 420 19
791 763 47
492 694 3
494 822 51
485 471 99
632 897 10
903 705 60
667 382 93
275 462 55
446 187 48
392 338 68
810 130 83
456 974 77
211 820 51
61 305 74
359 289 23
20 192 28
731 212 10
123 839 72
778 285 59
577 678 50
796 488 32
778 297 6
806 508 26
656 921 83
681 632 24
603 4 69
231 735 81
592 211 72
416 989 58
426 918 88
127 714 28
958 492 77
115 650 37
92 306 10
374 339 42
650 942 98
118 525 34
798 118 45
669 886 86
178 312 56
717 440 70
97 750 14
773 218 64
221 119 38
560 913 88
854 710 6
380 595 56
850 691 77
736 776 56
48 131 25
840 552 22
943 817 48
161 732 10
471 953 81
860 865 94
547 720 57
704 100 4
659 950 96
636 38 72
143 86 56
719 279 60
41 222 30
840 383 62
949 206 16
529 419 33
375 966 53
283 23 5
786 34 55
981 670 93
305 165 32
112 885 63
471 278 37
0 118 20
262 419 78
829 948 97
261 675 16
766 958 91
370 745 25
925 726 48
869 383 13
252 495 50
266 967 28
502 319 98
473 933 17
651 762 18
599 376 93
866 142 52
156 512 49
481 789 27
828 11 11
692 615 6
442 882 25
821 384 45
319 210 78
587 861 93
804 812 21
49 31 63
900 539 27
200 20 69
226 200 32
636 245 47
894 39 81
118 860 18
14 531 28
492 471 41
436 275 5
756 324 36
570 576 76
248 776 48
716 355 1
899 991 46
698 237 85
378 356 97
147 370 81
774 214 52
966 650 79
971 758 56
6 328 32
933 929 61
233 997 16
733 897 59
830 595 97
966 325 5
962 473 27
194 599 42
545 566 44
524 537 55
531 895 35
114 829 64
474 62 62
541 147 59
952 977 6
600 295 83
604 609 56
330 804 8
623 701 74
567 225 63
621 108 58
355 223 39
19 49 53
32 591 100
942 543 29
447 143 24
629 99 34
637 429 38
596 53 39
769 972 17
183 593 77
140 300 100
631 671 50
183 703 41
235 645 36
263 444 31
939 426 30
224 415 11
961 11 16
751 132 88
119 315 33
596 807 86
647 438 57
396 974 13
88 209 58
675 824 55
757 763 81
586 987 48
549 300 59
564 404 43
904 875 58
188 823 65
773 823 56
30 219 30
342 660 39
651 335 15
757 93 79
289 31 18
236 932 71
546 497 27
988 753 54
745 941 30
662 715 53
17 97 72
346 439 84
236 442 20
950 200 65
780 489 48
950 78 81
772 624 30
998 613 83
803 710 24
432 372 91
884 741 88
556 87 79
591 675 74
610 978 26
426 758 15
274 60 45
54 832 70
683 182 35
417 986 97
740 418 70
483 655 63
970 563 3
601 154 78
674 765 56
299 543 67
765 817 27
310 223 60
831 906 94
317 323 80
513 416 51
434 899 6
97 221 69
551 174 23
328 848 40
436 499 84
302 265 53
228 927 77
339 110 83
633 779 59
264 292 75
314 79 26
371 528 99
639 79 74
414 759 74
953 195 74
388 497 91
641 78 18
117 769 80
851 402 59
909 19 3
735 685 34
812 57 62
111 48 93
936 462 53
609 768 100
782 508 50
572 149 28
641 618 49
820 822 4
130 731 23
85 819 8
118 983 17
32 446 66
24 382 80
128 992 48
428 774 57
929 699 58
508 340 77
856 513 99
959 995 82
81 80 53
241 199 37
457 583 83
722 607 18
154 88 10
1 868 36
709 797 35
919 305 28
747 161 93
45 473 88
778 554 69
683 795 20
571 605 3
905 679 62
622 833 50
331 187 70
167 896 19
53 815 24
632 562 38
724 959 11
164 90 17
332 125 65
403 696 70
705 601 49
318 224 83
20 907 22
589 426 18
308 480 86
683 112 100
572 189 12
582 353 2
851 37 27
915 440 75
936 497 76
636 815 52
170 187 60
891 777 86
861 437 18
646 472 83
345 45 72
708 979 77
809 830 14
387 97 6
13 385 55
241 22 70
692 192 10
403 436 39
189 297 76
158 943 48
240 640 45
863 349 25
839 510 7
204 250 5
9 615 42
663 856 64
485 549 9
494 952 45
632 493 94
559 652 89
958 244 29
403 108 30
179 947 93
785 504 95
841 513 10
283 529 67
98 14 68
106 860 72
902 844 18
995 403 22
383 713 66
764 116 74
845 295 74
789 433 78
983 274 43
145 909 72
163 8 38
730 114 98
601 369 42
318 716 97
391 452 11
357 568 27
782 413 75
155 555 60
384 890 34
127 35 44
750 198 52
388 280 18
885 234 87
579 904 4
675 296 8
485 653 76
764 435 41
690 943 96
49 679 87
34 158 74
577 909 25
480 297 57
850 534 91
588 113 96
43 141 44
950 978 49
425 742 84
666 784 79
461 833 59
499 220 69
925 149 78
901 630 27
157 480 62
0 68 27
747 464 68
790 414 47
838 840 41
673 506 78
804 319 11
614 171 83
582 448 33
812 701 63
338 210 95
751 210 15
630 309 79
649 451 94
295 289 86
388 315 44
265 471 15
327 85 86
610 19 86
42 831 87
456 522 50
702 273 12
16 903 22
147 553 73
692 200 15
77 940 30
320 557 53
234 885 38
672 847 9
909 241 41
848 697 15
997 751 88
708 119 44
81 266 49
554 958 1
668 387 94
449 59 51
701 646 88
390 670 87
450 931 28
990 779 77
404 128 28
444 189 48
739 270 66
939 176 77
339 844 64
32 645 76
635 698 22
474 440 44
161 891 75
88 233 55
417 990 35
144 786 24
343 525 47
809 464 23
585 155 20
748 540 17
675 175 68
896 649 8
139 162 51
666 251 37
972 20 27
406 164 13
382 508 90
980 669 54
402 254 9
373 354 1
342 30 76
9 926 78
468 418 92
171 436 43
107 408 15
385 814 80
97 548 40
686 528 9
91 283 63
651 8 69
752 350 99
379 711 78
8 180 48
800 351 84
194 810 92
609 195 58
540 644 7
979 682 87
439 773 70
153 776 31
221 528 81
320 260 93
697 268 25
844 68 28
779 615 38
770 224 85
927 764 29
985 743 11
572 534 36
793 687 12
23 908 41
956 580 1
600 629 69
776 825 90
303 604 5
992 374 29
876 654 45
404 639 40
966 563 74
301 709 61
412 84 21
52 40 2
304 992 31
825 768 57
766 71 13
970 415 88
750 291 94
646 695 85
285 13 49
458 314 10
670 727 94
142 131 87
195 436 79
878 261 100
386 27 23
498 349 39
337 451 30
830 97 78
667 382 91
67 192 6
176 214 85
369 356 16
307 904 52
238 782 65
937 168 44
411 18 93
949 356 96
131 538 93
360 205 75
250 272 19
807 448 33
443 170 42
859 477 46
62 67 80
527 4 48
370 416 66
915 717 74
910 848 13
355 208 70
829 811 43
200 970 43
432 414 65
725 273 95
570 335 62
549 214 19
48 937 87
566 204 4
439 114 53
203 469 13
173 651 24
767 203 95
161 987 9
726 713 34
472 635 69
933 185 36
751 585 73
337 151 77
993 943 43
145 498 65
209 671 68
733 790 71
579 952 58
839 30 71
372 502 7
592 435 44
27 539 81
399 228 33
975 221 28
370 718 26
234 928 50
101 13 92
171 944 44
228 783 26
351 507 28
757 99 16
52 127 7
932 878 87
316 206 9
995 576 79
821 162 59
22 263 72
13 434 68
309 14 51
986 717 58
814 826 10
781 878 89
287 163 67
